Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Work Market,https://angel.co/work-market,5,Feb '12,New York City,Labor Optimization,http://www.workmarket.com/,51-200,Series C,36000000
Hailo,https://angel.co/hailo,5,Aug '12,New York City,Taxis,http://hailocab.com,51-200,Series B,77100000
Hullabalu,https://angel.co/hullabalu,5,Feb '12,New York City,Kids,http://www.hullabalu.com,10-Jan,Seed,1800000
Mobli,https://angel.co/mobli,5,May '13,Tel Aviv,Real Time,http://www.mobli.com,10-Jan,Series A,86045000
Timehop,https://angel.co/timehop,5,Mar '13,New York City,Photography,http://timehop.com,Nov-50,Series B,14118000
HireArt,https://angel.co/hireart,5,Mar '12,New York City,Employment,http://www.hireart.com,Nov-50,,1400000
Chartbeat,https://angel.co/chartbeat,5,Mar '12,New York City,Data Visualization,http://www.chartbeat.com,Nov-50,,16600000
Kitchensurfing,https://angel.co/kitchensurfing,5,Dec '12,New York,Hospitality,http://www.kitchensurfing.com,Nov-50,,19500000
Jukely,https://angel.co/jukely,5,Aug '12,New York City,Music Services,http://jukely.com,Nov-50,Seed,11300000
Nomi,https://angel.co/nomi,5,Feb '13,New York City,Retail Technology,http://www.nomi.com,Nov-50,,13000000
OKpanda,https://angel.co/okpanda,5,Oct '13,New York City,Education,http://okpanda.com,10-Jan,Seed,3000000
Oyster,https://angel.co/oyster,5,Apr '13,New York City,Publishing,http://oysterbooks.com,Nov-50,Series A,17000000
Picturelife,https://angel.co/picturelife,5,Oct '12,New York City,Cloud Data Services,https://picturelife.com,Nov-50,Series A,4700000
Canvas,https://angel.co/canvas,5,Jan '13,New York City,Communities,http://canv.as,,Series A,3625000
Abacus,https://angel.co/abacus,5,Jul '13,New York City,Small and Medium Businesses,http://abacus.com,10-Jan,,3500000
Memoir,https://angel.co/memoir,5,May '13,New York City,Mobile,http://www.yourmemoir.com,10-Jan,Series A,6700000
MakeSpace,https://angel.co/makespace,5,Sep '13,New York City,Operations ,https://makespace.com,51-200,Series A,10100000
Shake,https://angel.co/shake-1,5,Sep '13,New York City,Freelancers,http://www.shakelaw.com,Nov-50,Acquired,4000000
Electric Objects,https://angel.co/electric-objects,5,Feb '15,New York City,Consumer Electronics,http://electricobjects.com,10-Jan,,1700000
Cover,https://angel.co/cover,5,Mar '13,New York City,Restaurants,http://www.paywithcover.com/,Nov-50,Acquired,5500000
Draft,https://angel.co/draft-11,5,Jul '10,New York City,Mobile Games,http://playdraft.com,10-Jan,Series A,5600000
Skillshare,https://angel.co/skillshare,5,Oct '10,New York City,Marketplaces,http://skillshare.com,Nov-50,,10750000
LaunchRock,https://angel.co/launchrock,5,Feb '11,New York City,SaaS,http://launchrock.co,10-Jan,Acquired,800000
Captricity,https://angel.co/captricity,5,Feb '11,Oakland,Insurance,http://captricity.com,51-200,Series B,12400000
Disqus,https://angel.co/disqus,5,Feb '11,San Francisco,Social Media Platforms,http://disqus.com,51-200,Series C,10500000
Days by Wander,https://angel.co/days-by-wander,5,Apr '11,New York City,Photo Sharing,http://days.am,10-Jan,Acquired,11200000
Amicus,https://angel.co/amicus,5,Jun '11,New York City,Nonprofits,http://www.amicushq.com,,Seed,3780000
Hinge,https://angel.co/hinge,5,Aug '11,New York City,Social Search,http://hinge.co,Nov-50,Series A,20500000
Bondsy,https://angel.co/bondsy,5,Jun '12,New York City,Mobile Commerce,http://bondsy.com,10-Jan,,754500
Poptip,https://angel.co/poptip,5,Oct '11,New York City,Social Media Marketing,http://poptip.com,10-Jan,Acquired,3013000
Tutorspree,https://angel.co/tutorspree,5,Nov '11,New York City,Tutoring,http://www.tutorspree.com,10-Jan,,1800000
SecondMarket,https://angel.co/secondmarket,5,Jan '12,New York City,Startups,http://www.secondmarket.com,Nov-50,Series C,34150000
Rewind.Me,https://angel.co/rewind-me,5,Jun '12,New York City,Business Analytics,http://site.rewind.me,10-Jan,,800000
ADstruc,https://angel.co/adstruc,5,Jun '12,New York City,Outdoor Advertising,http://www.adstruc.com/,Nov-50,,3118000
Stack Overflow,https://angel.co/stack-exchange,5,Mar '13,New York City,Databases,http://stackexchange.com/work-here,201-500,Series B,18000000
Yext,https://angel.co/yext,5,Feb '13,New York City,Local Businesses,http://www.yext.com,201-500,,88750000
SnagFilms,https://angel.co/snagfilms,5,Aug '13,New York City,Apps,http://www.snagfilms.com,Nov-50,,29500000
OpenSky,https://angel.co/opensky,5,Dec '13,New York City,Curated Web,http://OpenSky.com,Nov-50,,49050000
EnergyHub,https://angel.co/energyhub,5,Feb '14,Brooklyn,Clean Technology,http://www.energyhub.com/,Nov-50,,33100363
Rent the Runway,https://angel.co/rent-the-runway,5,Aug '12,New York City,Fashion,http://www.renttherunway.com/,201-500,Series C,54400000
Yieldbot,https://angel.co/yieldbot,5,Dec '13,New York City,Real Time,http://www.yieldbot.com,Nov-50,Series B,28400000
Betterment,https://angel.co/betterment,5,Jan '13,New York City,Personal Finance,https://www.betterment.com,Nov-50,Series C,45000000
BillGuard,https://angel.co/billguard,5,Feb '12,New York City,Personal Finance,http://www.billguard.com,Nov-50,Acquired,13000000
Onswipe,https://angel.co/onswipe,5,Apr '12,New York City,Mobile Advertising,http://,Nov-50,Acquired,6000000
Shelby.TV,https://angel.co/shelby-tv,5,Apr '13,New York City,,http://shelby.tv/,10-Jan,Series A,3925000
Next New Networks,https://angel.co/next-new-networks,5,Jun '12,New York City,Curated Web,http://www.nextnewnetworks.com/,10-Jan,Acquired,27063781
Amino Apps,https://angel.co/amino-apps,5,Nov '13,New York City,Interest Graph,http://www.AminoApps.com,Nov-50,Series A,8200000
Onename,https://angel.co/onename,5,Sep '13,New York City,Application Platforms,https://onename.com,10-Jan,,1450000
TransferWise,https://angel.co/transferwise,5,Nov '11,London,P2P Money Transfer,http://www.transferwise.com,10-Jan,Series C,90368040
AngelList,https://angel.co/angellist,5,Mar '11,San Francisco,Startups,http://angel.co,Nov-50,,24000000
Blue Apron,https://angel.co/blue-apron,5,Sep '12,New York City,Subscription Businesses,http://www.blueapron.com,51-200,Series C,58000000
Taykey,https://angel.co/taykey,5,Jul '12,New York City,Marketing,http://www.taykey.com,51-200,Series D,32000000
Spring,https://angel.co/spring-3,5,Apr '14,New York City,Online Shopping,https://www.shopspring.com/,Nov-50,Series B,32500000
Movable Ink,https://angel.co/movable-ink,5,Nov '10,New York City,Digital Marketing,http://movableink.com,51-200,Series B,12300000
Fancy,https://angel.co/fancy,5,Jun '13,New York City,Online Shopping,http://fancy.com,51-200,,97400000
Artsicle,https://angel.co/artsicle,5,Apr '11,New York City,Small and Medium Businesses,http://www.artsicle.com,10-Jan,Seed,390000
Apprenda,https://angel.co/apprenda-1,5,Mar '13,New York City,PaaS,http://www.apprenda.com,Nov-50,Series B,15000000
IMRSV,https://angel.co/imrsv,5,Jul '11,New York City,Internet of Things,http://www.imrsv.com,Nov-50,Acquired,2018000
Songza,https://angel.co/songza,5,Apr '11,New York City,Music,http://www.songza.com,Nov-50,,4700000
Floored,https://angel.co/floored,5,Aug '12,New York City,3D Technology,http://www.floored.com,Nov-50,Series A,6300000
BuyNow Worldwide,https://angel.co/buynow-worldwide,5,Nov '13,New York,Retail Technology,http://www.BuyNowWorldwide.com,10-Jan,,355000
Estimote,https://angel.co/estimote,5,Sep '13,New York City,Ibeacon,http://www.estimote.com,Nov-50,,3100000
Appboy,https://angel.co/appboy,5,Nov '11,New York City,Apps,http://www.appboy.com,Nov-50,,7600000
Yotpo,https://angel.co/yotpo,5,Aug '11,New York City,Content Marketing,http://yotpo.com,Nov-50,Series B,28000000
Truveris,https://angel.co/truveris,5,Feb '13,New York City,SaaS,http://www.truveris.com/,51-200,,26600000
ClassPass,https://angel.co/classpass,5,Jul '11,New York City,Fitness,http://www.classpass.com,51-200,Series B,54000000
Matter.io,https://angel.co/matter-io,5,Jul '13,New York City,3D Printing,http://www.matter.io,10-Jan,Seed,900000
Decisive ,https://angel.co/decisive,5,Oct '10,New York City,Marketing,http://www.decisive.is,10-Jan,Seed,120000
Docphin,https://angel.co/docphin,5,Oct '11,New York City,Mobile Health,http://www.docphin.com,10-Jan,Seed,1605000
TripleLift,https://angel.co/triplelift,5,Apr '12,New York City,Native Advertising,http://triplelift.com,Nov-50,Series B,16625000
Signal360 (formerly Sonic Notify),https://angel.co/signal360-formerly-sonic-notify,5,Jun '12,New York City,Ibeacon,http://www.sonicnotify.com,Nov-50,Series A,4550000
Assured Labor,https://angel.co/assured-labor,5,Sep '11,New York City,Marketplaces,http://www.assuredlabor.com,Nov-50,,7000000
20x200,https://angel.co/20x200,5,Dec '12,New York City,Art,http://www.20x200.com,10-Jan,,1045000
Manicube,https://angel.co/manicube,5,Aug '12,New York City,Consulting,http://www.manicube.com,Nov-50,,5000000
SundaySky,https://angel.co/sundaysky,5,Feb '14,New York City,Personalization,http://www.sundaysky.com,51-200,,37000000
Paddle8,https://angel.co/paddle8,5,Sep '13,New York City,Collectibles,http://www.paddle8.com,Nov-50,,17000000
Sefaira,https://angel.co/sefaira,5,Sep '13,New York City,Architecture,http://www.sefaira.com,Nov-50,Seed,20000000
SolveBio,https://angel.co/solvebio,5,Nov '13,New York City,Genetic Testing,https://www.solvebio.com,10-Jan,,2000000
Breather,https://angel.co/breather,5,Apr '13,New York City,Collaborative Consumption,http://breather.com,Nov-50,Series B,27500000
Plated,https://angel.co/plated,5,Jan '13,New York City,Social Media Platforms,https://www.plated.com/,51-200,,6400000
Cord,https://angel.co/cord,5,Jun '14,New York City,Messaging,http://www.cord.im,10-Jan,Seed,1800000
Pilot,https://angel.co/pilot-5,5,Aug '14,New York City,Internet Infrastructure,http://pilotfiber.com,Nov-50,Seed,775000
Fitocracy,https://angel.co/fitocracy,5,Jun '11,New York City,Quantified Self,http://www.fitocracy.com,10-Jan,,250000
Dash,https://angel.co/dash,5,Oct '12,New York City,Quantified Self,http://www.dashmobile.co,10-Jan,Seed,500000
Directly,https://angel.co/directly,5,Jun '13,San Francisco,Virtual Workforces,http://www.directly.com,Nov-50,Series A,13000000
theSkimm,https://angel.co/theskimm,5,Feb '14,New York City,News,http://www.theskimm.com,Nov-50,Seed,1579577
WhoSay,https://angel.co/whosay,5,Aug '12,New York City,Celebrity,http://www.whosay.com/,Nov-50,Series C,14375010
Wonolo,https://angel.co/wonolo,5,Apr '14,San Francisco,Temporary Staffing,http://wonolo.com,Nov-50,,2200000
Cleanly,https://angel.co/cleanly,5,May '14,New York City,Logistics,http://www.getcleanly.com,10-Jan,Seed,2300000
Datadog,https://angel.co/datadog,5,Oct '13,New York City,Cloud Infrastructure,http://www.datadoghq.com,51-200,Series B,22400000
Valet Anywhere,https://angel.co/valet-anywhere,5,Apr '14,New York City,Parking,http://www.valetanywhere.com,Nov-50,,1350000
Fundera,https://angel.co/fundera,5,Feb '14,New York City,Loans,http://fundera.com,Nov-50,Series B,14900000
Hightower,https://angel.co/hightower,5,Jul '13,New York City,Commercial Real Estate,http://www.gethightower.com,Nov-50,Series B,21620000
Kinsa,https://angel.co/kinsa,5,Apr '13,New York City,Mobile Health,http://www.kinsahealth.com,Nov-50,,11600000
Canary,https://angel.co/canary-1,5,Mar '14,New York City,Deep Learning,http://canary.is,51-200,Series B,41200000
CoPromote,https://angel.co/copromote,5,Nov '10,New York City,Social Media Marketing,http://www.copromote.com,Nov-50,Series A,6540000
Reonomy,https://angel.co/reonomy,5,Feb '12,New York City,Information Services,http://www.reonomy.com,Nov-50,Series B,17850000
GoChime,https://angel.co/gochime,5,Aug '12,New York City,Marketing Automation,http://www.gochime.com,10-Jan,,850000
Synthesio,https://angel.co/synthesio-1,5,Mar '14,New York City,Social Media,http://synthesio.com,51-200,Series B,22000000
Updater,https://angel.co/updater,5,Nov '13,New York City,SaaS,https://www.updater.com,Nov-50,,9500000